Process_Time,WAC_Time,JIT1,Throughput,PW,Square_PW
150,50,110,46.14,200,100
150,60,110,46.09,210,90
150,70,110,42.97,220,80
150,80,110,40.69,230,70
150,90,110,46.46,240,60
165,40,110,45.72,205,125
165,50,110,44.43,215,115
165,60,110,41.55,225,105
165,70,110,40.03,235,95
165,80,110,34.59,245,85
165,90,110,37.07,255,75
180,40,110,41.5,220,140
180,50,110,43.38,230,130
180,60,110,41.37,240,120
180,70,110,40.09,250,110
180,80,110,38.05,260,100
180,90,110,36.33,270,90
195,40,110,41.31,235,155
195,50,110,39.61,245,145
195,60,110,37.21,255,135
195,70,110,38.61,265,125
195,80,110,35.86,275,115
195,90,110,34.24,285,105
120,40,115,57.89,160,80
120,50,115,55.41,170,70
120,60,115,51.49,180,60
120,70,115,48.45,190,50
120,80,115,46.3,200,40
120,90,115,47.65,210,30
135,40,115,42.64,175,95
135,50,115,44.08,185,85
135,60,115,36.89,195,75
135,70,115,46.54,205,65
135,80,115,45.46,215,55
135,90,115,43.84,225,45
150,40,115,41.78,190,110
150,50,115,46.14,200,100
150,60,115,46.09,210,90
150,70,115,42.97,220,80
150,80,115,40.69,230,70
150,90,115,46.46,240,60
165,40,115,45.72,205,125
165,50,115,44.43,215,115
165,60,115,41.55,225,105
165,70,115,40.03,235,95
165,80,115,34.59,245,85
165,90,115,37.07,255,75
180,40,115,41.5,220,140
180,50,115,43.38,230,130
180,60,115,41.37,240,120
180,70,115,40.09,250,110
180,80,115,38.05,260,100
180,90,115,36.33,270,90
195,40,115,41.31,235,155
195,50,115,39.61,245,145
195,60,115,37.21,255,135
195,70,115,38.61,265,125
195,80,115,35.86,275,115
195,90,115,34.24,285,105
120,40,120,57.89,160,80
120,50,120,55.41,170,70
120,60,120,51.49,180,60
120,70,120,48.45,190,50
120,80,120,46.3,200,40
120,90,120,47.95,210,30
135,40,120,42.64,175,95
135,50,120,43.37,185,85
135,60,120,35.88,195,75
135,70,120,46.54,205,65
135,80,120,45.46,215,55
135,90,120,43.84,225,45
150,40,120,41.78,190,110
150,50,120,46.14,200,100
150,60,120,46.09,210,90
150,70,120,42.97,220,80
150,80,120,40.69,230,70
150,90,120,46.46,240,60
165,40,120,45.72,205,125
165,50,120,44.43,215,115
165,60,120,41.55,225,105
165,70,120,40.03,235,95
165,80,120,34.59,245,85
165,90,120,37.07,255,75
180,40,120,41.5,220,140
180,50,120,43.38,230,130
180,60,120,41.37,240,120
180,70,120,40.09,250,110
180,80,120,38.05,260,100
180,90,120,36.33,270,90
195,40,120,41.31,235,155
195,50,120,39.61,245,145
195,60,120,37.21,255,135
195,70,120,38.61,265,125
195,80,120,35.86,275,115
195,90,120,34.24,285,105
